item,M 11-14,F 11-14,M 14-18,F 14-18
"Энергия, ккал",2500.0,2300.0,2900.0,2500.0
"Белок , мг",75000.0,69000.0,87000.0,75000.0
"в т. ч. животного белка, доля, мг",45000.0,41400.0,52199.99999999999,45000.0
"доля по ккал, мг",9000.0,8280.0,10440.0,9000.0
"Жиры, мг",83000.0,77000.0,97000.0,83000.0
"доля по ккал, мг",24900.0,23099.999999999996,29099.999999999996,24900.0
"ПНЖК, доля по ккал, мг",6225.0,5774.999999999999,7274.999999999999,6225.0
"Омега-6, доля по ккал, мг",5395.000000000001,5005.0,6305.000000000001,5395.000000000001
"Омега-3, доля по ккал, мг",747.0,693.0,872.9999999999999,747.0
"Холестерин, не более, мг",300.0,300.0,300.0,300.0
"Углеводы, мг",363000.0,334000.0,421000.0,363000.0
"доля по ккал, мг",210540.0,193720.0,244179.99999999997,210540.0
"в т. ч. сахар, не более, доля по ккал, мг",36300.00000000001,33400.0,42100.0,36300.00000000001
"Пищевые волокна, мг",20000.0,20000.0,20000.0,20000.0
"Витамин С, мг",70.0,60.0,90.0,70.0
"Витамин В1, мг",1.3,1.3,1.5,1.3
"Витамин В2, мг",1.5,1.5,1.8,1.5
"Витамин В6, мг",1.7,1.6,2.0,1.6
"Ниацин, мг",18.0,18.0,20.0,18.0
"Витамин В12, мг",0.003,0.003,0.003,0.003
"Фолаты, мг",0.35,0.35,0.4,0.4
"Пантотеновая кислота, мг",3.5,3.5,5.0,5.0
"Биотин, мг",0.025,0.025,0.05,0.05
"Витамин А, мг рет. экв",1.0,0.8,1.0,0.8
"Витамин Е, мг ток. экв",12.0,12.0,15.0,15.0
"Витамин D, мг",0.01,0.01,0.01,0.01
"Витамин К, мг",0.08,0.07,0.12,0.1
"Кальций, мг",1200.0,1200.0,1200.0,1200.0
"Фосфор, мг",1200.0,1200.0,1200.0,1200.0
"Магний, мг",300.0,300.0,400.0,400.0
"Калий, мг",1500.0,1500.0,2500.0,2500.0
"Натрий, мг",1100.0,1100.0,1300.0,1300.0
"Хлориды, мг",1900.0,1900.0,2300.0,2300.0
"Железо, мг",12.0,15.0,15.0,18.0
"Цинк, мг",12.0,12.0,12.0,12.0
"Йод, мг",0.13,0.15,0.15,0.15
"Медь, мг",0.8,0.8,1.0,1.0
"Селен, мг",0.04,0.04,0.05,0.05
"Хром, мг",0.0025,0.0025,0.0035,0.0035
"Фтор, мг",4.0,4.0,4.0,4.0
