,"('Salads', 'Hot Drinks')","('Protein Boxes & Bowls', 'Cold Drinks')","('Protein Boxes & Bowls', 'Hot Drinks')","('Hot Breakfast', 'Hot Drinks')"
0,1.9915538362346872,1.4931206343056398,1.7213564157655594,2.69700991005996
1,1.9915538362346872,1.3390674428162783,1.7213564157655594,2.69700991005996
2,1.9915538362346872,0.8340380542460887,1.7213564157655594,2.69700991005996
3,1.9915538362346872,1.3890624947707564,1.7213564157655594,2.69700991005996
4,1.9915538362346872,1.3054133287631702,1.7213564157655594,2.69700991005996
5,1.0324115463389656,1.2965512413512414,0.8808230190861769,1.0371119570235852
6,0.960031924597142,1.274393149805521,0.8391871972474988,0.9431171249607002
7,1.4512993894993895,1.2965512413512414,1.2366841736694678,2.192790526162143
8,1.0727413919413922,1.38787063430564,0.9146405726356016,1.0739896558550135
9,1.6132502164502165,1.4357115433965488,1.374502013665777,2.3415399817573728
10,1.3615383477981358,1.2380078526923957,1.1218286420816368,2.0948165323682897
11,1.3388903949183537,1.25630813430564,1.0925850494482299,2.071160215053763
12,1.4598595533498762,1.2556804273192612,1.242252331002331,2.199523250216617
13,1.4598595533498762,1.2437202000465342,1.242252331002331,2.199523250216617
14,1.832052631578948,1.4107510690882488,1.5631368286445009,2.544225350786326
15,1.2056548250363082,1.2826206343056399,0.991977351916376,1.9523406862745096
16,1.4179989208798274,1.25630813430564,1.1763528732844346,2.14951818891491
17,1.4179989208798274,1.4357115433965488,1.1763528732844346,2.14951818891491
18,6.422250673854448,1.2826206343056399,1.6657983193277308,5.140883597883597
19,6.422250673854448,1.25630813430564,1.6657983193277308,5.140883597883597
20,6.422250673854448,1.2380078526923957,1.6657983193277308,5.140883597883597
21,6.422250673854448,1.25630813430564,1.6657983193277308,5.140883597883597
22,6.422250673854448,1.5449581367290308,1.6657983193277308,5.140883597883597
23,1.3896580298786179,1.4120278821628145,0.9052530584883528,1.6185009916094582
24,1.3192645833238454,1.5449581367290308,0.8620709112997957,1.4072967471054754
25,2.1707817872440294,1.411385868808937,1.2325443408359718,2.079061438305464
26,1.477453927025356,1.5449581367290308,0.9384149008885851,1.7325013477088949
27,2.776514006791172,1.3395012209651116,1.36218983058394,2.6728675213675217
28,1.8919980922455388,1.436988356471115,1.1411335569801042,2.025220323536113
29,1.8115723347257169,1.2965512413512414,1.1159722143593112,2.0460628342245992
30,2.1977702173987,1.274393149805521,1.2391103723782693,2.1080144039698743
31,2.1977702173987,1.2965512413512414,1.2391103723782693,2.1080144039698743
32,4.175263736263736,1.3139688759516346,1.534021123803733,3.986872294372295
33,1.5318724256292904,1.3139688759516346,1.0133112038551968,1.5916724078079518
34,2.0327193747728094,1.02000084533416,1.1902333223281738,2.1683926955397546
35,2.0327193747728094,1.0130313588850173,1.1902333223281738,2.1683926955397546
36,4.670793400588481,1.4530273175100759,0.8055892425463336,2.992495798319328
37,4.670793400588481,1.4830987460815046,0.8055892425463336,2.992495798319328
38,4.670793400588481,1.666437455758924,0.8055892425463336,2.992495798319328
39,4.670793400588481,1.539202953468321,0.8055892425463336,2.992495798319328
40,4.670793400588481,1.2307192178168371,0.8055892425463336,2.992495798319328
41,1.2957672590567326,1.7320274100778819,1.354929325993156,1.1409208791208791
42,1.2030341004025211,1.7326551170642608,1.2497759829178852,1.0474347214371542
43,2.184012987012987,1.3749830953122926,1.8707618062008955,2.324795293359123
44,1.368572109925051,1.5625014854426618,1.4369362126245846,1.1857206349206348
45,2.636067226890757,1.1874030911699491,2.731050598394183,2.515407109839313
46,1.9054830659536541,1.4014975395926186,1.2879568144499178,2.217202380952381
47,1.84515932688865,1.1197776962159074,1.2002552377657325,2.1895640664961644
48,2.1994586466165416,1.2534491395129694,1.8789433811802236,2.3345621931260228
49,2.1994586466165416,1.3556624272749676,1.8789433811802236,2.3345621931260228
50,3.49825,0.9819938824062536,5.796912280701755,2.7845259476003097
51,1.6175384024577577,1.1098684148089095,0.968627583108715,2.043123867507429
52,2.032131737474506,1.1663086913086913,1.4809453997312119,2.2816149068322984
53,2.032131737474506,1.1115748983307323,1.4809453997312119,2.2816149068322984
54,1.6878135279354791,1.1929686173390774,1.5133181818181818,4.766182601205856
55,1.6878135279354791,1.0515107590493562,1.5133181818181818,4.766182601205856
56,1.6878135279354791,1.104282183835582,1.5133181818181818,4.766182601205856
57,1.6878135279354791,1.0039806101457522,1.5133181818181818,4.766182601205856
58,1.6878135279354791,1.2873860213499122,1.5133181818181818,4.766182601205856
59,0.9490304695304694,0.9682912203900964,0.8839800212214005,1.5457009916094584
60,0.9271907861964586,1.1835856529715718,0.8353910834562832,1.3349814710573225
61,1.1511397069749472,0.801780419484867,1.1417225991267452,1.889033984633536
62,0.986130016836018,0.8207440513650613,0.91531593735055,1.6521540087733206
63,1.3065,1.4966190476190475,1.2582634704005673,2.4406402486402485
64,1.1103572250534277,1.3610549450549452,1.0676512898975732,1.8881140964298857
65,1.0844074675324675,0.8653991720875223,1.04820694799659,1.918929595386895
66,1.1645887445887446,1.4015357142857143,1.14787752870421,1.9179869502979456
67,1.1645887445887446,1.3439749103942649,1.14787752870421,1.9179869502979456
68,1.5313055198769483,1.3113462643258014,1.4073163572060126,3.6876677489177485
69,0.9628882398598894,1.2900911007525977,0.94718482679773,1.4829455559561002
70,1.152052792612372,1.3113462643258014,1.1118005545652605,2.0130959148556498
71,1.152052792612372,1.41188948787062,1.1118005545652605,2.0130959148556498
72,1.037937434715282,1.450795918367347,1.3614351491059362,2.9577731092436967
73,1.037937434715282,1.2848692038495186,1.3614351491059362,2.9577731092436967
74,1.037937434715282,1.3013726708074531,1.3614351491059362,2.9577731092436967
75,1.037937434715282,1.3001228270379244,1.3614351491059362,2.9577731092436967
76,1.037937434715282,1.2898105184035091,1.3614351491059362,2.9577731092436967
77,0.7069248666929988,1.4305798319327734,0.8427347607536164,1.2396450704225352
78,0.6536598908987638,1.3239010989010986,0.7987885804237472,1.0361354799670408
79,0.8225499345615624,1.3013726708074531,1.0605139230139229,1.9040280050918352
80,0.7280242704362003,1.450795918367347,0.8694314293680273,1.3014989648033126
81,0.8955769735588903,1.3239010989010986,1.1582976873872397,2.1848461538461543
82,0.7889064276362963,1.3013726708074531,1.01629797979798,1.7922710622710618
83,0.7803111303118714,1.2848692038495186,1.000763888888889,1.7926610644257701
84,0.8268118393234671,1.3013726708074531,1.067308271066833,1.9124127580540529
85,0.8268118393234671,1.5379841269841268,1.067308271066833,1.9124127580540529
86,0.9851198945981554,1.4331399957832596,1.2819637449035046,2.6411114844121086
87,0.7073701671355902,1.5379841269841268,0.9125853859779128,1.554787071509335
88,0.8152785496741941,1.4318496732026142,1.0495708234830574,1.8828260608005132
89,0.8152785496741941,1.5379841269841268,1.0495708234830574,1.8828260608005132
90,,1.3733631195155112,,1.185284947719143
91,,1.4533560822178333,,1.185284947719143
92,,1.3113462643258014,,1.185284947719143
93,,1.2900911007525977,,1.185284947719143
94,,1.3113462643258014,,1.185284947719143
95,,1.3519442387919385,,1.0042771164021165
96,,1.3519442387919385,,0.9006211404192769
97,,1.0408574827350618,,0.8466918858694706
98,,1.0343938589636497,,1.0327874404783215
99,,1.4628641152182678,,0.9528674985145574
100,,1.4867506400409627,,0.7796911945455809
101,,1.6270839733742959,,0.7616099484952377
102,,1.5227719976500464,,0.8521937656131204
103,,1.2276449994165013,,0.8521937656131204
104,,1.6769770469867735,,1.0904166666666666
105,,1.6782268907563025,,0.6696512242828165
106,,1.3924436674436675,,0.8196381296917512
107,,1.5343887362637365,,0.8196381296917512
108,,1.2129508237334323,,2.530727224310063
109,,1.4062238246249874,,2.530727224310063
110,,1.1325189393939394,,2.530727224310063
111,,1.2482758295625942,,2.530727224310063
112,,1.3446917064698218,,2.530727224310063
113,,1.0080658496433146,,0.9642885927425402
114,,1.1308212483456892,,0.9000675298240338
115,,1.1924059969126382,,2.1018956322638607
116,,1.1265243516761545,,0.9960920308103972
117,,1.2146516577060933,,2.228304118242007
118,,1.0755943562610228,,2.0112695732577537
119,,1.12513341412109,,1.9847244442778424
120,,1.0529501865262234,,2.1084242864054183
121,,1.2999805381861915,,2.1084242864054183
122,,1.0025591588961589,,2.398959388437649
123,,1.2015557184750734,,1.888255541871921
124,,0.8293021060672195,,2.05865580804068
125,,0.8568373018519754,,2.05865580804068
